Day,AmountOfFeed,EggsPerDay,SunLightExposure
1,114,1,7
2,114,1,7
3,114,1,7
4,114,1,7
5,114,1,7
1,111,1,9
2,111,1,9
3,111,1,9
4,111,1,9
5,111,1,9
1,125,1,7
2,125,1,7
3,125,1,7
4,125,1,7
5,125,1,7
1,122,1,8
2,122,1,8
3,122,1,8
4,122,1,8
5,122,1,8
1,128,1,9
2,128,1,9
3,128,1,9
4,128,1,9
5,128,1,9
1,125,1,8
2,125,1,8
3,125,1,8
4,125,1,8
5,125,1,8
1,111,1,8
2,111,1,8
3,111,1,8
4,111,1,8
5,111,1,8
1,107,0,9
2,107,0,9
3,107,0,9
4,107,0,9
5,107,0,9
1,110,1,10
2,110,1,10
3,110,1,10
4,110,1,10
5,110,1,10
1,116,1,7
2,116,1,7
3,116,1,7
4,116,1,7
5,116,1,7
1,126,1,10
2,126,1,10
3,126,1,10
4,126,1,10
5,126,1,10
1,105,1,8
2,105,1,8
3,105,1,8
4,105,1,8
5,105,1,8
1,120,1,8
2,120,1,8
3,120,1,8
4,120,1,8
5,120,1,8
1,118,1,8
2,118,1,8
3,118,1,8
4,118,1,8
5,118,1,8
1,118,1,8
2,118,1,8
3,118,1,8
4,118,1,8
5,118,1,8
1,122,1,8
2,122,1,8
3,122,1,8
4,122,1,8
5,122,1,8
1,111,1,7
2,111,1,7
3,111,1,7
4,111,1,7
5,111,1,7
1,109,1,10
2,109,1,10
3,109,1,10
4,109,1,10
5,109,1,10
1,118,1,7
2,118,1,7
3,118,1,7
4,118,1,7
5,118,1,7
1,115,1,7
2,115,1,7
3,115,1,7
4,115,1,7
5,115,1,7
1,129,1,10
2,129,1,10
3,129,1,10
4,129,1,10
5,129,1,10
1,106,1,9
2,106,1,9
3,106,1,9
4,106,1,9
5,106,1,9
1,123,1,9
2,123,1,9
3,123,1,9
4,123,1,9
5,123,1,9
1,118,1,7
2,118,1,7
3,118,1,7
4,118,1,7
5,118,1,7
1,129,1,9
2,129,1,9
3,129,1,9
4,129,1,9
5,129,1,9
1,121,1,7
2,121,1,7
3,121,1,7
4,121,1,7
5,121,1,7
1,126,1,9
2,126,1,9
3,126,1,9
4,126,1,9
5,126,1,9
1,114,1,10
2,114,1,10
3,114,1,10
4,114,1,10
5,114,1,10
1,117,1,7
2,117,1,7
3,117,1,7
4,117,1,7
5,117,1,7
